,state,county,candidate,party,total_votes,won,votes,DEM_fraction
29053,Arkansas,Miller County,Joe Biden,DEM,4245,False,16529,0.25682134430395065
29066,Arkansas,Mississippi County,Joe Biden,DEM,4558,False,12342,0.3693080538000324
29079,Arkansas,Monroe County,Joe Biden,DEM,1147,False,2816,0.4073153409090909
29092,Arkansas,Montgomery County,Joe Biden,DEM,731,False,3873,0.1887425768138394
29118,Arkansas,Nevada County,Joe Biden,DEM,1076,False,3358,0.32042882668254913
29131,Arkansas,Newton County,Joe Biden,DEM,709,False,3998,0.17733866933466733
29144,Arkansas,Ouachita County,Joe Biden,DEM,3995,False,9629,0.41489251220272094
29157,Arkansas,Perry County,Joe Biden,DEM,1012,False,4627,0.21871623081910524
29169,Arkansas,Phillips County,Joe Biden,DEM,3623,True,6242,0.5804229413649471
29183,Arkansas,Pike County,Joe Biden,DEM,644,False,4246,0.15167216203485634
29196,Arkansas,Poinsett County,Joe Biden,DEM,1424,False,7521,0.18933652439835127
29209,Arkansas,Polk County,Joe Biden,DEM,1246,False,8490,0.14676089517078916
29222,Arkansas,Pope County,Joe Biden,DEM,5772,False,24432,0.2362475442043222
29235,Arkansas,Prairie County,Joe Biden,DEM,654,False,3495,0.1871244635193133
29260,Arkansas,Pulaski County,Joe Biden,DEM,101947,True,169956,0.5998434889030102
29274,Arkansas,Randolph County,Joe Biden,DEM,1215,False,6812,0.1783617146212566
29300,Arkansas,Saline County,Joe Biden,DEM,16060,False,56959,0.28195719728225566
29313,Arkansas,Scott County,Joe Biden,DEM,483,False,3551,0.13601802309208674
29326,Arkansas,Searcy County,Joe Biden,DEM,588,False,4019,0.14630505100771335
29339,Arkansas,Sebastian County,Joe Biden,DEM,14487,False,47140,0.3073186253712346
29352,Arkansas,Sevier County,Joe Biden,DEM,1116,False,5202,0.21453287197231835
29365,Arkansas,Sharp County,Joe Biden,DEM,1398,False,7566,0.18477398889770025
29286,Arkansas,St. Francis County,Joe Biden,DEM,3604,True,7108,0.5070343275182893
29378,Arkansas,Stone County,Joe Biden,DEM,1180,False,5938,0.19872010778039745
29404,Arkansas,Union County,Joe Biden,DEM,5584,False,16607,0.33624375263443124
29417,Arkansas,Van Buren County,Joe Biden,DEM,1593,False,7807,0.20404764954527987
29430,Arkansas,Washington County,Joe Biden,DEM,43824,False,94266,0.46489720577939025
29443,Arkansas,White County,Joe Biden,DEM,5978,False,30885,0.19355674275538287
29456,Arkansas,Woodruff County,Joe Biden,DEM,856,False,2476,0.345718901453958
29469,Arkansas,Yell County,Joe Biden,DEM,1284,False,6741,0.19047619047619047
29583,California,Alameda County,Joe Biden,DEM,617659,True,769864,0.8022962497272246
29651,California,Alpine County,Joe Biden,DEM,476,True,741,0.6423751686909581
29719,California,Amador County,Joe Biden,DEM,8153,False,22302,0.3655725943861537
29791,California,Butte County,Joe Biden,DEM,50426,True,102042,0.4941690676388154
29854,California,Calaveras County,Joe Biden,DEM,10046,False,27164,0.36982771314975704
29860,California,Colusa County,Joe Biden,DEM,3234,False,7951,0.4067412904037228
29865,California,Contra Costa County,Joe Biden,DEM,416386,True,581230,0.716387660650689
29872,California,Del Norte County,Joe Biden,DEM,4677,False,11452,0.4084002794271743
29878,California,El Dorado County,Joe Biden,DEM,51621,False,116138,0.44447984294546145
29520,California,Fresno County,Joe Biden,DEM,193025,True,364809,0.5291124944834146
29527,California,Glenn County,Joe Biden,DEM,3995,False,11292,0.35379029401346085
29532,California,Humboldt County,Joe Biden,DEM,44768,True,68828,0.6504329633288778
29539,California,Imperial County,Joe Biden,DEM,34678,True,56718,0.6114108395923693
29545,California,Inyo County,Joe Biden,DEM,4634,True,9481,0.48876700769960973
29552,California,Kern County,Joe Biden,DEM,133366,False,305226,0.4369418070544449
29558,California,Kings County,Joe Biden,DEM,18699,False,43858,0.42635323088148114
29563,California,Lake County,Joe Biden,DEM,14941,True,28800,0.5187847222222223
29571,California,Lassen County,Joe Biden,DEM,2799,False,11985,0.23354192740926158
29577,California,Los Angeles County,Joe Biden,DEM,3028885,True,4263443,0.7104316863154967
29590,California,Madera County,Joe Biden,DEM,23168,False,53722,0.4312572130598265
29595,California,Marin County,Joe Biden,DEM,128288,True,155801,0.8234093491055898
29603,California,Mariposa County,Joe Biden,DEM,4088,False,10280,0.3976653696498054
29608,California,Mendocino County,Joe Biden,DEM,28782,True,43336,0.664159128669005
29615,California,Merced County,Joe Biden,DEM,48991,True,90541,0.5410918810262754
29622,California,Modoc County,Joe Biden,DEM,1150,False,4338,0.26509912402028585
29627,California,Mono County,Joe Biden,DEM,4013,True,6737,0.5956657265845332
29633,California,Monterey County,Joe Biden,DEM,113953,True,163883,0.6953314254681694
29639,California,Napa County,Joe Biden,DEM,49817,True,72122,0.6907323701505782
29645,California,Nevada County,Joe Biden,DEM,36359,True,64738,0.5616330439618153
29657,California,Orange County,Joe Biden,DEM,814009,True,1521725,0.5349251671622665
29664,California,Placer County,Joe Biden,DEM,106869,False,235017,0.45472880685227024
29670,California,Plumas County,Joe Biden,DEM,4561,False,11256,0.40520611229566456
29675,California,Riverside County,Joe Biden,DEM,527945,True,996156,0.5299822517758263
29681,California,Sacramento County,Joe Biden,DEM,440808,True,718290,0.6136908490999458
29687,California,San Benito County,Joe Biden,DEM,17628,True,28821,0.6116373477672531
29693,California,San Bernardino County,Joe Biden,DEM,455859,True,840931,0.5420884709922693
29699,California,San Diego County,Joe Biden,DEM,964650,True,1601722,0.6022580697524289
29705,California,San Francisco County,Joe Biden,DEM,378156,True,443458,0.8527436645634987
29712,California,San Joaquin County,Joe Biden,DEM,161137,True,288443,0.5586441688652524
29724,California,San Luis Obispo County,Joe Biden,DEM,88310,True,159681,0.5530401237467201
29730,California,San Mateo County,Joe Biden,DEM,291410,True,374138,0.7788837273947046
29737,California,Santa Barbara County,Joe Biden,DEM,129963,True,200288,0.6488806119188368
29744,California,Santa Clara County,Joe Biden,DEM,617967,True,850522,0.7265737982086296
29750,California,Santa Cruz County,Joe Biden,DEM,114246,True,144796,0.7890135086604603
29758,California,Shasta County,Joe Biden,DEM,30000,False,92900,0.32292787944025836
29765,California,Sierra County,Joe Biden,DEM,730,False,1930,0.37823834196891193
29772,California,Siskiyou County,Joe Biden,DEM,9593,False,23450,0.40908315565031983
29778,California,Solano County,Joe Biden,DEM,131639,True,205831,0.6395489503524736
29784,California,Sonoma County,Joe Biden,DEM,199938,True,268252,0.7453364746581572
29798,California,Stanislaus County,Joe Biden,DEM,105841,True,214876,0.4925678065488933
29805,California,Sutter County,Joe Biden,DEM,17367,False,42640,0.4072936210131332
29811,California,Tehama County,Joe Biden,DEM,8911,False,28721,0.3102607847916159
29817,California,Trinity County,Joe Biden,DEM,2851,False,6258,0.45557686161713007
29824,California,Tulare County,Joe Biden,DEM,66105,False,146832,0.45020840143837854
29830,California,Tuolumne County,Joe Biden,DEM,11978,False,30401,0.39400019736192887
29835,California,Ventura County,Joe Biden,DEM,251388,True,422698,0.5947224732551373
29841,California,Yolo County,Joe Biden,DEM,67598,True,97264,0.6949950649777924
29848,California,Yuba County,Joe Biden,DEM,11230,False,29787,0.37701010507939703
