,state,county,candidate,party,total_votes,won,votes,DEM_fraction
9385,Massachusetts,Holland,Joe Biden,DEM,698,False,1545,0.4517799352750809
9654,Massachusetts,Holliston,Joe Biden,DEM,6771,True,9617,0.7040657169595508
9389,Massachusetts,Holyoke,Joe Biden,DEM,11152,True,16313,0.6836265555078771
10229,Massachusetts,Hopedale,Joe Biden,DEM,2285,True,3775,0.6052980132450331
9659,Massachusetts,Hopkinton,Joe Biden,DEM,7047,True,10296,0.6844405594405595
10235,Massachusetts,Hubbardston,Joe Biden,DEM,1390,False,2927,0.47488896481038606
9664,Massachusetts,Hudson,Joe Biden,DEM,7414,True,11583,0.6400759734093068
10024,Massachusetts,Hull,Joe Biden,DEM,4507,True,7080,0.6365819209039548
9505,Massachusetts,Huntington,Joe Biden,DEM,585,False,1217,0.4806902218570255
9099,Massachusetts,Ipswich,Joe Biden,DEM,6273,True,9614,0.6524859579779488
10029,Massachusetts,Kingston,Joe Biden,DEM,4522,True,8520,0.5307511737089202
10035,Massachusetts,Lakeville,Joe Biden,DEM,3336,False,7323,0.4555510036870135
10239,Massachusetts,Lancaster,Joe Biden,DEM,2458,True,4354,0.5645383555351401
8804,Massachusetts,Lanesborough,Joe Biden,DEM,1237,True,1891,0.6541512427287149
9104,Massachusetts,Lawrence,Joe Biden,DEM,17023,True,23208,0.7334970699758704
8809,Massachusetts,Lee,Joe Biden,DEM,2415,True,3489,0.6921754084264833
10245,Massachusetts,Leicester,Joe Biden,DEM,3101,False,6415,0.483398285268901
8814,Massachusetts,Lenox,Joe Biden,DEM,2701,True,3368,0.8019596199524941
10249,Massachusetts,Leominster,Joe Biden,DEM,12344,True,21525,0.573472706155633
9274,Massachusetts,Leverett,Joe Biden,DEM,1193,True,1386,0.8607503607503607
9669,Massachusetts,Lexington,Joe Biden,DEM,16308,True,20048,0.8134477254588987
9279,Massachusetts,Leyden,Joe Biden,DEM,330,True,502,0.6573705179282868
9674,Massachusetts,Lincoln,Joe Biden,DEM,3493,True,4271,0.8178412549754156
9679,Massachusetts,Littleton,Joe Biden,DEM,4479,True,6691,0.6694066656703034
9394,Massachusetts,Longmeadow,Joe Biden,DEM,6679,True,10395,0.6425204425204425
9684,Massachusetts,Lowell,Joe Biden,DEM,25544,True,38681,0.660375895142318
9400,Massachusetts,Ludlow,Joe Biden,DEM,5467,False,11384,0.48023541813070975
10254,Massachusetts,Lunenburg,Joe Biden,DEM,4027,True,7192,0.5599276974416018
9109,Massachusetts,Lynn,Joe Biden,DEM,24662,True,35777,0.6893255443441317
9114,Massachusetts,Lynnfield,Joe Biden,DEM,4213,True,8345,0.5048532055122829
9689,Massachusetts,Malden,Joe Biden,DEM,19111,True,25623,0.7458533348944307
9119,Massachusetts,Manchester,Joe Biden,DEM,2712,True,3819,0.7101335428122545
8954,Massachusetts,Mansfield,Joe Biden,DEM,9024,True,14537,0.6207608172250121
9124,Massachusetts,Marblehead,Joe Biden,DEM,10128,True,14234,0.7115357594492061
10039,Massachusetts,Marion,Joe Biden,DEM,2369,True,3696,0.6409632034632035
9694,Massachusetts,Marlborough,Joe Biden,DEM,12610,True,19143,0.6587264274147208
10044,Massachusetts,Marshfield,Joe Biden,DEM,9671,True,17482,0.5531975746482096
8714,Massachusetts,Mashpee,Joe Biden,DEM,5982,True,10263,0.5828705057000877
10049,Massachusetts,Mattapoisett,Joe Biden,DEM,2730,True,4697,0.5812220566318927
9699,Massachusetts,Maynard,Joe Biden,DEM,4942,True,6786,0.7282640730916593
9889,Massachusetts,Medfield,Joe Biden,DEM,5668,True,8211,0.6902935087078309
9704,Massachusetts,Medford,Joe Biden,DEM,23495,True,31713,0.7408633683347523
9894,Massachusetts,Medway,Joe Biden,DEM,5156,True,8416,0.6126425855513308
9709,Massachusetts,Melrose,Joe Biden,DEM,13213,True,18241,0.7243572172578258
10259,Massachusetts,Mendon,Joe Biden,DEM,2067,True,3944,0.5240872210953347
9129,Massachusetts,Merrimac,Joe Biden,DEM,2549,True,4391,0.5805055795946253
9134,Massachusetts,Methuen,Joe Biden,DEM,14328,True,25919,0.5527991049037386
10055,Massachusetts,Middleborough,Joe Biden,DEM,6324,False,13857,0.4563758389261745
9509,Massachusetts,Middlefield,Joe Biden,DEM,199,True,334,0.5958083832335329
9140,Massachusetts,Middleton,Joe Biden,DEM,2764,False,5858,0.4718333902355753
10264,Massachusetts,Milford,Joe Biden,DEM,8700,True,14580,0.5967078189300411
10269,Massachusetts,Millbury,Joe Biden,DEM,4196,True,8162,0.5140896839010046
9899,Massachusetts,Millis,Joe Biden,DEM,3502,True,5639,0.6210320978896967
10275,Massachusetts,Millville,Joe Biden,DEM,821,False,1848,0.44426406926406925
9904,Massachusetts,Milton,Joe Biden,DEM,12862,True,17654,0.7285600996941203
9285,Massachusetts,Monroe,Joe Biden,DEM,28,False,60,0.4666666666666667
9405,Massachusetts,Monson,Joe Biden,DEM,2446,False,5175,0.4726570048309179
9289,Massachusetts,Montague,Joe Biden,DEM,3520,True,4898,0.7186606778276847
8819,Massachusetts,Monterey,Joe Biden,DEM,481,True,592,0.8125
9410,Massachusetts,Montgomery,Joe Biden,DEM,246,False,564,0.43617021276595747
8824,Massachusetts,Mount Washington,Joe Biden,DEM,102,True,125,0.816
9144,Massachusetts,Nahant,Joe Biden,DEM,1629,True,2524,0.6454041204437401
9829,Massachusetts,Nantucket,Joe Biden,DEM,5241,True,7306,0.7173555981385162
9714,Massachusetts,Natick,Joe Biden,DEM,16330,True,21776,0.7499081557678178
9909,Massachusetts,Needham,Joe Biden,DEM,15573,True,20113,0.7742753443046786
8829,Massachusetts,New Ashford,Joe Biden,DEM,98,True,151,0.6490066225165563
8959,Massachusetts,New Bedford,Joe Biden,DEM,21267,True,34877,0.6097714826389884
10280,Massachusetts,New Braintree,Joe Biden,DEM,319,False,671,0.47540983606557374
8834,Massachusetts,New Marlborough,Joe Biden,DEM,678,True,959,0.7069864442127216
9294,Massachusetts,New Salem,Joe Biden,DEM,419,True,681,0.6152716593245228
9149,Massachusetts,Newbury,Joe Biden,DEM,3138,True,5025,0.6244776119402985
9154,Massachusetts,Newburyport,Joe Biden,DEM,9224,True,12708,0.72584198929808
9719,Massachusetts,Newton,Joe Biden,DEM,40907,True,50295,0.8133412864101799
9914,Massachusetts,Norfolk,Joe Biden,DEM,4100,True,6853,0.598278126368014
8839,Massachusetts,North Adams,Joe Biden,DEM,4216,True,5932,0.7107215104517869
9159,Massachusetts,North Andover,Joe Biden,DEM,11022,True,18012,0.6119253830779481
8964,Massachusetts,North Attleborough,Joe Biden,DEM,9724,True,17191,0.5656448141469373
10295,Massachusetts,North Brookfield,Joe Biden,DEM,1181,False,2715,0.43499079189686923
9724,Massachusetts,North Reading,Joe Biden,DEM,5585,True,9930,0.5624370594159114
9514,Massachusetts,Northampton,Joe Biden,DEM,15649,True,17925,0.87302649930265
10284,Massachusetts,Northborough,Joe Biden,DEM,6476,True,9687,0.6685248270878497
10289,Massachusetts,Northbridge,Joe Biden,DEM,4720,True,9228,0.5114867793671435
9299,Massachusetts,Northfield,Joe Biden,DEM,1211,True,1855,0.6528301886792452
8969,Massachusetts,Norton,Joe Biden,DEM,5918,True,10974,0.5392746491707673
10059,Massachusetts,Norwell,Joe Biden,DEM,4291,True,7386,0.5809639859193068
9919,Massachusetts,Norwood,Joe Biden,DEM,11212,True,17453,0.6424110468114365
9029,Massachusetts,Oak Bluffs,Joe Biden,DEM,2420,True,3209,0.7541290121533188
10300,Massachusetts,Oakham,Joe Biden,DEM,554,False,1257,0.4407319013524264
9304,Massachusetts,Orange,Joe Biden,DEM,1984,True,3800,0.5221052631578947
8719,Massachusetts,Orleans,Joe Biden,DEM,3288,True,4842,0.6790582403965304
8844,Massachusetts,Otis,Joe Biden,DEM,550,True,1014,0.5424063116370809
10305,Massachusetts,Oxford,Joe Biden,DEM,3593,False,7574,0.4743860575653552
9415,Massachusetts,Palmer,Joe Biden,DEM,3108,False,6503,0.47793326157158234
10309,Massachusetts,Paxton,Joe Biden,DEM,1625,True,2962,0.5486158001350439
9164,Massachusetts,Peabody,Joe Biden,DEM,16860,True,30090,0.5603190428713859
9519,Massachusetts,Pelham,Joe Biden,DEM,819,True,925,0.8854054054054054
10064,Massachusetts,Pembroke,Joe Biden,DEM,6174,True,11753,0.5253126861226921
9729,Massachusetts,Pepperell,Joe Biden,DEM,3869,True,7307,0.5294922676885179
8849,Massachusetts,Peru,Joe Biden,DEM,299,True,533,0.5609756097560976
10314,Massachusetts,Petersham,Joe Biden,DEM,528,True,872,0.6055045871559633
10320,Massachusetts,Phillipston,Joe Biden,DEM,465,False,1094,0.4250457038391225
8854,Massachusetts,Pittsfield,Joe Biden,DEM,16404,True,21942,0.7476073284112661
9524,Massachusetts,Plainfield,Joe Biden,DEM,316,True,443,0.7133182844243793
9924,Massachusetts,Plainville,Joe Biden,DEM,3196,True,5823,0.5488579769878069
10069,Massachusetts,Plymouth,Joe Biden,DEM,21266,True,37336,0.5695843154060424
10074,Massachusetts,Plympton,Joe Biden,DEM,962,True,1918,0.5015641293013556
10324,Massachusetts,Princeton,Joe Biden,DEM,1530,True,2575,0.5941747572815534
8724,Massachusetts,Provincetown,Joe Biden,DEM,2402,True,2613,0.9192499043245312
9929,Massachusetts,Quincy,Joe Biden,DEM,30446,True,45793,0.6648614417050641
9934,Massachusetts,Randolph,Joe Biden,DEM,13676,True,17455,0.7835004296763105
8974,Massachusetts,Raynham,Joe Biden,DEM,4372,True,8811,0.4961979344001816
9734,Massachusetts,Reading,Joe Biden,DEM,11134,True,16952,0.6567956583294007
8980,Massachusetts,Rehoboth,Joe Biden,DEM,3650,False,7917,0.4610332196539093
10119,Massachusetts,Revere,Joe Biden,DEM,13360,True,20890,0.6395404499760651
8859,Massachusetts,Richmond,Joe Biden,DEM,828,True,1057,0.783349101229896
10080,Massachusetts,Rochester,Joe Biden,DEM,1762,False,3833,0.45969214714322987
10084,Massachusetts,Rockland,Joe Biden,DEM,5400,True,9994,0.54032419451671
9169,Massachusetts,Rockport,Joe Biden,DEM,3861,True,5275,0.7319431279620853
9309,Massachusetts,Rowe,Joe Biden,DEM,152,True,267,0.5692883895131086
9174,Massachusetts,Rowley,Joe Biden,DEM,2180,True,4227,0.5157321977762006
10329,Massachusetts,Royalston,Joe Biden,DEM,408,True,787,0.5184243964421855
9420,Massachusetts,Russell,Joe Biden,DEM,366,False,919,0.3982589771490751
10334,Massachusetts,Rutland,Joe Biden,DEM,2818,True,5675,0.49656387665198237
9179,Massachusetts,Salem,Joe Biden,DEM,18023,True,24018,0.7503955366808227
9184,Massachusetts,Salisbury,Joe Biden,DEM,2845,True,5556,0.5120590352771778
8864,Massachusetts,Sandisfield,Joe Biden,DEM,306,True,515,0.5941747572815534
8729,Massachusetts,Sandwich,Joe Biden,DEM,7739,True,14061,0.5503875968992248
9189,Massachusetts,Saugus,Joe Biden,DEM,8001,True,15797,0.5064885737798316
8869,Massachusetts,Savoy,Joe Biden,DEM,226,True,399,0.5664160401002506
10089,Massachusetts,Scituate,Joe Biden,DEM,8608,True,13530,0.6362158167036216
8984,Massachusetts,Seekonk,Joe Biden,DEM,4786,True,8955,0.5344500279173646
9939,Massachusetts,Sharon,Joe Biden,DEM,8778,True,11617,0.75561676852888
8874,Massachusetts,Sheffield,Joe Biden,DEM,1542,True,2162,0.7132284921369103
9314,Massachusetts,Shelburne,Joe Biden,DEM,927,True,1174,0.7896081771720613
9739,Massachusetts,Sherborn,Joe Biden,DEM,2267,True,2963,0.7651029362132973
9744,Massachusetts,Shirley,Joe Biden,DEM,2100,True,3700,0.5675675675675675
10339,Massachusetts,Shrewsbury,Joe Biden,DEM,13590,True,21131,0.6431309450570252
9319,Massachusetts,Shutesbury,Joe Biden,DEM,1154,True,1330,0.8676691729323308
8989,Massachusetts,Somerset,Joe Biden,DEM,5815,True,11122,0.5228376191332494
9749,Massachusetts,Somerville,Joe Biden,DEM,37027,True,42200,0.8774170616113744
9534,Massachusetts,South Hadley,Joe Biden,DEM,6590,True,10059,0.6551347052390893
9529,Massachusetts,Southampton,Joe Biden,DEM,2231,True,4194,0.5319504053409633
10344,Massachusetts,Southborough,Joe Biden,DEM,4618,True,6665,0.6928732183045762
10349,Massachusetts,Southbridge,Joe Biden,DEM,4079,True,7261,0.5617683514667401
9425,Massachusetts,Southwick,Joe Biden,DEM,2360,False,5732,0.4117236566643405
10355,Massachusetts,Spencer,Joe Biden,DEM,2989,False,6412,0.4661572052401747
9429,Massachusetts,Springfield,Joe Biden,DEM,39361,True,54373,0.7239070862376548
10359,Massachusetts,Sterling,Joe Biden,DEM,2841,True,5451,0.5211887727022565
8879,Massachusetts,Stockbridge,Joe Biden,DEM,1099,True,1363,0.8063096111518708
9754,Massachusetts,Stoneham,Joe Biden,DEM,8676,True,14322,0.6057813154587348
9944,Massachusetts,Stoughton,Joe Biden,DEM,10254,True,15623,0.6563400115214747
9759,Massachusetts,Stow,Joe Biden,DEM,3551,True,4964,0.7153505237711523
10364,Massachusetts,Sturbridge,Joe Biden,DEM,3417,True,6093,0.5608074839980305
9764,Massachusetts,Sudbury,Joe Biden,DEM,9345,True,12354,0.75643516270034
9324,Massachusetts,Sunderland,Joe Biden,DEM,1605,True,2050,0.7829268292682927
10369,Massachusetts,Sutton,Joe Biden,DEM,3091,True,6318,0.48923710034821144
9194,Massachusetts,Swampscott,Joe Biden,DEM,6845,True,9572,0.7151065608023401
8995,Massachusetts,Swansea,Joe Biden,DEM,4736,False,10034,0.47199521626470003
8999,Massachusetts,Taunton,Joe Biden,DEM,14996,True,26773,0.5601165353154297
10375,Massachusetts,Templeton,Joe Biden,DEM,2061,False,4495,0.4585094549499444
9769,Massachusetts,Tewksbury,Joe Biden,DEM,9954,True,19137,0.5201442232324816
9034,Massachusetts,Tisbury,Joe Biden,DEM,2225,True,2835,0.7848324514991182
9435,Massachusetts,Tolland,Joe Biden,DEM,136,False,328,0.4146341463414634
9199,Massachusetts,Topsfield,Joe Biden,DEM,2460,True,4144,0.5936293436293436
9774,Massachusetts,Townsend,Joe Biden,DEM,2687,True,5476,0.49068663257852446
8734,Massachusetts,Truro,Joe Biden,DEM,1386,True,1762,0.7866061293984109
9779,Massachusetts,Tyngsborough,Joe Biden,DEM,4034,True,7545,0.5346587143803844
8884,Massachusetts,Tyringham,Joe Biden,DEM,234,True,314,0.7452229299363057
10379,Massachusetts,Upton,Joe Biden,DEM,3173,True,5300,0.5986792452830189
10384,Massachusetts,Uxbridge,Joe Biden,DEM,4351,True,8727,0.49856766357282
9784,Massachusetts,Wakefield,Joe Biden,DEM,10215,True,16623,0.6145100162425555
9440,Massachusetts,Wales,Joe Biden,DEM,429,False,1087,0.39466421343146274
9949,Massachusetts,Walpole,Joe Biden,DEM,9474,True,16166,0.5860447853519732
9789,Massachusetts,Waltham,Joe Biden,DEM,20424,True,28896,0.7068106312292359
9540,Massachusetts,Ware,Joe Biden,DEM,2353,False,4951,0.4752575237325793
10094,Massachusetts,Wareham,Joe Biden,DEM,6883,True,12726,0.5408612289800409
10390,Massachusetts,Warren,Joe Biden,DEM,1149,False,2599,0.44209311273566754
9329,Massachusetts,Warwick,Joe Biden,DEM,343,True,523,0.655831739961759
8889,Massachusetts,Washington,Joe Biden,DEM,240,True,353,0.6798866855524079
9794,Massachusetts,Watertown,Joe Biden,DEM,14970,True,19227,0.7785926041504135
9799,Massachusetts,Wayland,Joe Biden,DEM,7344,True,9302,0.7895076327671469
10394,Massachusetts,Webster,Joe Biden,DEM,4046,True,8298,0.487587370450711
9954,Massachusetts,Wellesley,Joe Biden,DEM,12630,True,16342,0.7728552196793538
8739,Massachusetts,Wellfleet,Joe Biden,DEM,1971,True,2516,0.7833863275039745
9334,Massachusetts,Wendell,Joe Biden,DEM,487,True,614,0.7931596091205212
9204,Massachusetts,Wenham,Joe Biden,DEM,1761,True,2608,0.6752300613496932
10404,Massachusetts,West Boylston,Joe Biden,DEM,2788,True,4802,0.5805914202415661
10100,Massachusetts,West Bridgewater,Joe Biden,DEM,2224,False,4625,0.48086486486486485
10409,Massachusetts,West Brookfield,Joe Biden,DEM,1137,True,2327,0.48861194671250535
9209,Massachusetts,West Newbury,Joe Biden,DEM,2111,True,3270,0.645565749235474
9449,Massachusetts,West Springfield,Joe Biden,DEM,7157,True,13513,0.5296381262487975
8894,Massachusetts,West Stockbridge,Joe Biden,DEM,784,True,971,0.8074150360453141
9039,Massachusetts,West Tisbury,Joe Biden,DEM,1921,True,2295,0.837037037037037
10399,Massachusetts,Westborough,Joe Biden,DEM,7569,True,10636,0.7116397141782626
9444,Massachusetts,Westfield,Joe Biden,DEM,10200,True,20685,0.49311094996374183
9804,Massachusetts,Westford,Joe Biden,DEM,10229,True,15298,0.6686494966662309
9544,Massachusetts,Westhampton,Joe Biden,DEM,746,True,1195,0.6242677824267783
10414,Massachusetts,Westminster,Joe Biden,DEM,2665,True,5294,0.5034000755572346
9809,Massachusetts,Weston,Joe Biden,DEM,5129,True,7085,0.723923782639379
9004,Massachusetts,Westport,Joe Biden,DEM,5319,True,10546,0.50436184335293
9959,Massachusetts,Westwood,Joe Biden,DEM,6832,True,10545,0.6478899952584163
9964,Massachusetts,Weymouth,Joe Biden,DEM,19615,True,32827,0.5975264264172785
9339,Massachusetts,Whately,Joe Biden,DEM,745,True,1107,0.6729900632339657
10104,Massachusetts,Whitman,Joe Biden,DEM,4496,True,8629,0.5210337234905551
9454,Massachusetts,Wilbraham,Joe Biden,DEM,4928,True,9397,0.5244226880919443
9549,Massachusetts,Williamsburg,Joe Biden,DEM,1446,True,1822,0.7936333699231614
8899,Massachusetts,Williamstown,Joe Biden,DEM,3196,True,3757,0.8506787330316742
9814,Massachusetts,Wilmington,Joe Biden,DEM,8027,True,14806,0.5421450763204106
10420,Massachusetts,Winchendon,Joe Biden,DEM,2313,False,5152,0.44895186335403725
9819,Massachusetts,Winchester,Joe Biden,DEM,9777,True,13870,0.704902667627974
8904,Massachusetts,Windsor,Joe Biden,DEM,370,True,579,0.6390328151986183
10124,Massachusetts,Winthrop,Joe Biden,DEM,6290,True,10252,0.6135388216933282
9824,Massachusetts,Woburn,Joe Biden,DEM,13530,True,22418,0.6035328753680078
10424,Massachusetts,Worcester,Joe Biden,DEM,48584,True,71370,0.6807342020456775
9554,Massachusetts,Worthington,Joe Biden,DEM,571,True,870,0.6563218390804598
9969,Massachusetts,Wrentham,Joe Biden,DEM,4247,True,7807,0.5439989752785961
8744,Massachusetts,Yarmouth,Joe Biden,DEM,9149,True,15452,0.592091638622832
10430,Michigan,Alcona County,Joe Biden,DEM,2142,False,7064,0.3032276330690827
10437,Michigan,Alger County,Joe Biden,DEM,2053,False,5128,0.4003510140405616
10444,Michigan,Allegan County,Joe Biden,DEM,24449,False,67094,0.3643992011208156
10451,Michigan,Alpena County,Joe Biden,DEM,6000,False,16969,0.3535859508515528
10458,Michigan,Antrim County,Joe Biden,DEM,5960,False,15949,0.37369114051037683
10465,Michigan,Arenac County,Joe Biden,DEM,2774,False,8831,0.31412071113124224
10472,Michigan,Baraga County,Joe Biden,DEM,1478,False,4038,0.3660227835562159
10479,Michigan,Barry County,Joe Biden,DEM,11797,False,35905,0.3285614816877872
10486,Michigan,Bay County,Joe Biden,DEM,26151,False,60255,0.4340054767239233
10493,Michigan,Benzie County,Joe Biden,DEM,5480,False,12262,0.44690915022019245
10500,Michigan,Berrien County,Joe Biden,DEM,37438,False,82391,0.45439429063854064
10507,Michigan,Branch County,Joe Biden,DEM,6159,False,20536,0.2999123490455785
10514,Michigan,Calhoun County,Joe Biden,DEM,28877,False,66281,0.4356753820853638
10521,Michigan,Cass County,Joe Biden,DEM,9130,False,26216,0.3482606042111688
10528,Michigan,Charlevoix County,Joe Biden,DEM,6939,False,17000,0.4081764705882353
10535,Michigan,Cheboygan County,Joe Biden,DEM,5437,False,15868,0.34263927401058736
10542,Michigan,Chippewa County,Joe Biden,DEM,6648,False,17642,0.3768280240335563
10549,Michigan,Clare County,Joe Biden,DEM,5199,False,16281,0.3193292795282845
10556,Michigan,Clinton County,Joe Biden,DEM,21968,False,47927,0.4583637615540301
10563,Michigan,Crawford County,Joe Biden,DEM,2672,False,7861,0.339905864393843
10570,Michigan,Delta County,Joe Biden,DEM,7606,False,21151,0.3596047468204813
10577,Michigan,Dickinson County,Joe Biden,DEM,4744,False,14589,0.325176502844609
10584,Michigan,Eaton County,Joe Biden,DEM,31299,False,64327,0.4865608531409828
10591,Michigan,Emmet County,Joe Biden,DEM,9662,False,22177,0.43567660188483565
10597,Michigan,Genesee County,Joe Biden,DEM,119390,True,221360,0.5393476689555475
10605,Michigan,Gladwin County,Joe Biden,DEM,4524,False,14603,0.3097993562966514
10612,Michigan,Gogebic County,Joe Biden,DEM,3570,False,8266,0.43188966852165495
10619,Michigan,Grand Traverse County,Joe Biden,DEM,28683,False,60236,0.4761770369878478
10626,Michigan,Gratiot County,Joe Biden,DEM,6693,False,19127,0.3499241909342814
10633,Michigan,Hillsdale County,Joe Biden,DEM,5883,False,23302,0.25246759934769547
10640,Michigan,Houghton County,Joe Biden,DEM,7750,False,18501,0.41889627587697964
10647,Michigan,Huron County,Joe Biden,DEM,5490,False,18437,0.29777078700439336
10653,Michigan,Ingham County,Joe Biden,DEM,94212,True,144550,0.651760636457973
10661,Michigan,Ionia County,Joe Biden,DEM,10901,False,32209,0.33844577602533454
10668,Michigan,Iosco County,Joe Biden,DEM,5373,False,15363,0.34973637961335674
10675,Michigan,Iron County,Joe Biden,DEM,2493,False,6789,0.3672116659301812
10682,Michigan,Isabella County,Joe Biden,DEM,14072,False,29421,0.4782978144862513
10689,Michigan,Jackson County,Joe Biden,DEM,31995,False,80861,0.39567900471178935
10695,Michigan,Kalamazoo County,Joe Biden,DEM,83686,True,143414,0.5835274101552149
10703,Michigan,Kalkaska County,Joe Biden,DEM,3002,False,10631,0.28238171385570504
10709,Michigan,Kent County,Joe Biden,DEM,187915,True,361048,0.5204709623097206
10717,Michigan,Keweenaw County,Joe Biden,DEM,672,False,1557,0.43159922928709055
10724,Michigan,Lake County,Joe Biden,DEM,2288,False,6323,0.3618535505298118
10731,Michigan,Lapeer County,Joe Biden,DEM,16367,False,52650,0.3108641975308642
10737,Michigan,Leelanau County,Joe Biden,DEM,8795,True,16900,0.520414201183432
10745,Michigan,Lenawee County,Joe Biden,DEM,20918,False,53375,0.39190632318501173
10752,Michigan,Livingston County,Joe Biden,DEM,48220,False,127197,0.3790969912812409
10759,Michigan,Luce County,Joe Biden,DEM,842,False,3001,0.2805731422859047
10766,Michigan,Mackinac County,Joe Biden,DEM,2632,False,7015,0.3751960085531005
10773,Michigan,Macomb County,Joe Biden,DEM,223952,False,494256,0.45310931986662784
10780,Michigan,Manistee County,Joe Biden,DEM,6107,False,14655,0.4167178437393381
10786,Michigan,Marquette County,Joe Biden,DEM,20465,True,37462,0.5462869040627836
10794,Michigan,Mason County,Joe Biden,DEM,6802,False,17254,0.39422742552451606
10801,Michigan,Mecosta County,Joe Biden,DEM,7375,False,21049,0.3503729393320348
10808,Michigan,Menominee County,Joe Biden,DEM,4316,False,12607,0.3423494883794717
10815,Michigan,Midland County,Joe Biden,DEM,20493,False,49088,0.417474739243807
10822,Michigan,Missaukee County,Joe Biden,DEM,1967,False,8755,0.22467161621930326
10829,Michigan,Monroe County,Joe Biden,DEM,32975,False,87148,0.37837930876210585
10836,Michigan,Montcalm County,Joe Biden,DEM,9703,False,32100,0.30227414330218066
10843,Michigan,Montmorency County,Joe Biden,DEM,1628,False,5859,0.277863116572794
10849,Michigan,Muskegon County,Joe Biden,DEM,45643,True,92444,0.4937367487343689
10857,Michigan,Newaygo County,Joe Biden,DEM,7873,False,27161,0.2898641434409632
10863,Michigan,Oakland County,Joe Biden,DEM,434148,True,770351,0.56357167057614
10871,Michigan,Oceana County,Joe Biden,DEM,4944,False,14062,0.35158583416299244
10878,Michigan,Ogemaw County,Joe Biden,DEM,3475,False,11907,0.2918451331149744
10885,Michigan,Ontonagon County,Joe Biden,DEM,1391,False,3804,0.3656677181913775
10892,Michigan,Osceola County,Joe Biden,DEM,3214,False,12329,0.2606861870386893
10899,Michigan,Oscoda County,Joe Biden,DEM,1342,False,4874,0.275338530980714
10906,Michigan,Otsego County,Joe Biden,DEM,4743,False,14757,0.32140678999796707
10913,Michigan,Ottawa County,Joe Biden,DEM,64705,False,168713,0.38352112759538387
10920,Michigan,Presque Isle County,Joe Biden,DEM,2911,False,8344,0.34887344199424736
10927,Michigan,Roscommon County,Joe Biden,DEM,5166,False,15018,0.3439872153415901
10933,Michigan,Saginaw County,Joe Biden,DEM,51088,True,103349,0.4943250539434344
10955,Michigan,Sanilac County,Joe Biden,DEM,5966,False,22446,0.26579345985921765
10962,Michigan,Schoolcraft County,Joe Biden,DEM,1589,False,4745,0.33487881981032663
10969,Michigan,Shiawassee County,Joe Biden,DEM,15347,False,39224,0.39126555170303895
10941,Michigan,St. Clair County,Joe Biden,DEM,31363,False,92064,0.3406651894334376
10948,Michigan,St. Joseph County,Joe Biden,DEM,9262,False,27936,0.3315435280641466
10976,Michigan,Tuscola County,Joe Biden,DEM,8712,False,29445,0.29587366276107996
10983,Michigan,Van Buren County,Joe Biden,DEM,16803,False,39066,0.43011826140377823
10989,Michigan,Washtenaw County,Joe Biden,DEM,157136,True,216418,0.72607638920977
10996,Michigan,Wayne County,Joe Biden,DEM,597170,True,872469,0.6844598490032311
11004,Michigan,Wexford County,Joe Biden,DEM,5838,False,18265,0.3196277032575965
11011,Minnesota,Aitkin County,Joe Biden,DEM,3607,False,10025,0.3598004987531172
11021,Minnesota,Anoka County,Joe Biden,DEM,100893,False,211132,0.4778669268514484
11031,Minnesota,Becker County,Joe Biden,DEM,6589,False,19401,0.3396216689861347
11041,Minnesota,Beltrami County,Joe Biden,DEM,11426,False,24189,0.4723634709992145
11051,Minnesota,Benton County,Joe Biden,DEM,7280,False,22260,0.3270440251572327
11061,Minnesota,Big Stone County,Joe Biden,DEM,1053,False,2974,0.35406859448554134
11070,Minnesota,Blue Earth County,Joe Biden,DEM,18330,True,36051,0.5084463676458351
11081,Minnesota,Brown County,Joe Biden,DEM,4753,False,14635,0.32476938845234027
11090,Minnesota,Carlton County,Joe Biden,DEM,10098,True,20369,0.49575335067995485
11101,Minnesota,Carver County,Joe Biden,DEM,30774,False,66361,0.4637362306173807
11111,Minnesota,Cass County,Joe Biden,DEM,6342,False,18289,0.34676581551752417
11121,Minnesota,Chippewa County,Joe Biden,DEM,2226,False,6611,0.3367115413704432
11131,Minnesota,Chisago County,Joe Biden,DEM,11806,False,34570,0.3415099797512294
11140,Minnesota,Clay County,Joe Biden,DEM,16357,True,32239,0.5073668538106021
11151,Minnesota,Clearwater County,Joe Biden,DEM,1260,False,4708,0.2676295666949873
11160,Minnesota,Cook County,Joe Biden,DEM,2496,True,3806,0.6558066211245402
11171,Minnesota,Cottonwood County,Joe Biden,DEM,1834,False,6107,0.30031111838873426
11181,Minnesota,Crow Wing County,Joe Biden,DEM,13726,False,40173,0.3416722674433077
11190,Minnesota,Dakota County,Joe Biden,DEM,146155,True,262259,0.5572926000632962
11201,Minnesota,Dodge County,Joe Biden,DEM,4079,False,12187,0.3347009108065972
11211,Minnesota,Douglas County,Joe Biden,DEM,7868,False,24165,0.3255948686116284
11221,Minnesota,Faribault County,Joe Biden,DEM,2531,False,7914,0.3198129896386151
11231,Minnesota,Fillmore County,Joe Biden,DEM,4551,False,12141,0.37484556461576474
11241,Minnesota,Freeborn County,Joe Biden,DEM,6889,False,16818,0.4096206445475086
11251,Minnesota,Goodhue County,Joe Biden,DEM,11806,False,28636,0.4122782511523956
11261,Minnesota,Grant County,Joe Biden,DEM,1300,False,3654,0.35577449370552816
